id,created_at,room_id,room_name,check_in,check_out,guests,customer_name,customer_email,customer_phone,notes,total_price,payment_status,stripe_session_id,stripe_payment_intent_id,email_sent,smoobu_reservation_id
0af0633e-6431-4948-8991-bddf254502ba,2026-04-11 15:20:42.18081+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-04-28,2026-04-29,1,Mario Rossi,mateopasaro@gmail.com,+393246360021,,95,paid,cs_test_a1eDLSkcDWrPNR4pPpukkwaJQaTxFToRMJDfyL5eDL2XPBYgYFyzxb4FFD,pi_3TL3LGGGCCcCK1zh0RRBs9vl,false,
0d1c2bde-f882-4a9d-ac3d-b53a710471cb,2026-04-09 18:13:59.866756+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-04-10,2026-04-12,3,mmm,mmm@hhh.com,+3933333333333,,190,pending,cs_test_a1HMbHXMTgUgSGTJiX10QAK5lyTr1CQ10V7SAn5ZVxngFwHJ5dkak2UX1x,,false,
13bb5ef0-ba70-4125-a7a9-80c6b568877e,2026-04-10 18:12:42.536674+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-04-21,2026-04-23,1,Elon Musk,mateopasaro@gmail.com,+393246360021,,190,paid,cs_test_a1XXNOlSEuKC2jbiRIN741JxED66r0RbqbB2izxOGpGao5dFkMJgrtdDR9,pi_3TKjYBGGCCcCK1zh0UCyRPOg,false,
13cd446e-e14b-4811-a01a-89a11111466e,2026-04-11 16:18:56.084606+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-04-19,2026-04-20,2,Matteo Passaro,mateopasaro@gmail.com,+393246360021,,95,paid,cs_test_a1DmcCGIixWVhTkUxalLHfNizrJAKUxXkFkrRZ7JB81V688lPfH2OSAPQZ,pi_3TL4FYGGCCcCK1zh1tseUCui,true,
2ce7dcce-276a-4182-8d10-7146af44912f,2026-04-10 11:45:06.108422+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-04-11,2026-04-13,2,Matteo,mateopasaro@gmail.com,+393246360021,,190,pending,cs_test_a1UBylqT8LrOqKL9FgbTM4dzHg4nWanyWjtrNBm06NgAxHNgVApfJEF179,,false,
2e2287b9-3f15-4f5e-9858-c5facbc5d22f,2026-04-13 16:24:25.885775+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-06-01,2026-06-03,2,Jeffrey Epstein,mateopasaro@gmail.com,+393246360021,,190,paid,cs_test_a1D6V2jZJRzFLmPVTKhtOYi3mEFbWuqTNpPnzTBIWUBNCJObIxCmcHWp8N,pi_3TLnI3GGCCcCK1zh0eq1eRVY,true,
4156edc6-4765-4536-b7e5-59bbf5934f78,2026-04-11 16:32:16.236022+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-04-26,2026-04-27,2,Metts,mateopasaro@gmail.com,+393246360021,,95,refunded,cs_test_a1RoIBnmtDmC30ffSH9a7WPiQxIYh3cv8scoShJRGumtsoUrFA9kdgMvFm,pi_3TL4SnGGCCcCK1zh1jyQj030,true,
48837f7e-fa55-472d-a19d-535d78b8d513,2026-04-09 17:50:31.52404+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-04-10,2026-04-11,1,Matteo Passaro,mateopasaro@gmail.com,+393246360021,,95,pending,cs_test_a1sqO6qX5tNx4IkGGQQhnlHspwOYZgVsYx37MPS9GooI47xwggqZBNfp8g,,false,
4d298623-0eba-43f6-9130-fdedebedfeeb,2026-04-13 11:45:10.418113+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-05-28,2026-05-29,2,Capocchia Nera,mateopasaro@gmail.com,+393246360021,,95,paid,cs_test_a1cykN9YoKEE2Wk8fRpWkrSiLqikI9VLS8mPcLEN45nFxoQZADyqSKbpXs,pi_3TLivsGGCCcCK1zh1c0mAPX4,true,
546d5c79-dd45-409f-80fc-d1f034498dee,2026-04-10 18:16:14.831794+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-04-14,2026-04-17,3,Porco Dio,porcodio@porcodio.porcodio,+39 333 124 1234,,285,paid,cs_test_a18Lwzaigaoys5tlg1XzcNmt74EsTSXy2sEhj9xu6oVqsHtTEMJFI4ffCz,pi_3TKjbcGGCCcCK1zh1sYwffnX,false,
5808e70b-c281-45ee-ae2d-8d8121d86127,2026-04-13 11:35:38.844587+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-05-21,2026-05-24,2,Adolf Hitler,mateopasaro@gmail.com,+393246360021,,285,paid,cs_test_a1rhOKFZFqjoKywVbqovq18vr1jgUDhA3BG8VOyPaYpgHY9xmIdKMwJalG,pi_3TLimVGGCCcCK1zh1h32U2n3,true,
69cfa51e-a1db-478d-85df-0ce03aa22cc4,2026-04-11 15:46:41.612704+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-04-24,2026-04-25,2,Matteo Passaro,mateopasaro@gmail.com,+393246360021,,95,paid,cs_test_a1aAZ4ByiIyvyAbhm29d2LVtQecqK6pFbGRq62kD5iS6OMVTBoeITia7zf,pi_3TL3kKGGCCcCK1zh0fPNxNYs,true,
6a6c20e8-f6c9-410a-a383-b7f77aba7f91,2026-04-13 16:53:38.757991+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-07-30,2026-07-31,2,Mario Rossi,mateopasaro@gmail.com,+393246360021,,95,paid,cs_test_a1qgC7KA8AtyFXKeNDU6o16UrVFek2hNL4uUE4O9BPATBWvjdOFG0ptm0u,pi_3TLnkEGGCCcCK1zh10R1XGEu,true,
860b72bd-288d-401a-8a1a-3c6da70748c4,2026-04-12 16:41:50.868945+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-05-07,2026-05-10,1,Pippo Baudo,mateopasaro@gmail.com,,,285,refunded,cs_test_a1YjnQSsaPzcUhCxTQAFQUZfnzpyyEwvhR3GTLeDelgXw5Ipwyp7aCrHlc,pi_3TLR5KGGCCcCK1zh1R8RA2JX,true,
883a4dda-ea97-45c5-b9a9-d65ccbe92fa0,2026-04-11 16:37:56.002022+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-04-12,2026-04-13,2,Matteo,mateopasaro@gmail.com,+393246360021,,95,paid,cs_test_a1s3B6jFs9M6EMimRD6KA3KPdxgHvQr234v9FeeD4V79sKQ90I1LAMQO89,pi_3TL4XyGGCCcCK1zh1z0DIMSp,true,
8b46b06d-1146-416f-b368-a83a74a8ab1f,2026-04-10 18:18:09.230056+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-04-11,2026-04-13,1,Bill Gates,billgates@bill.com,,,190,pending,cs_test_a1M5jQs3rfku13pb94CtZ75ijw80YVamGegJQwAso0zjirLsHuN9GTLRii,,false,
8c6ea512-e96b-42cb-8218-ba04aaa64ef8,2026-04-13 11:11:55.765093+00,camera-tripla-deluxe,Camera Tripla Deluxe,2026-05-11,2026-05-13,2,Jeffrey Epstein,mateopasaro@gmail.com,+393246360021,,190,paid,cs_test_a1dyq8bSIB669NmylidkVC2tSV9ER8NG9RpSQDBflbkdZAwm91G9Hp6HqI,pi_3TLiPpGGCCcCK1zh0169z2fL,false,
